#,Ref Designator,Part Number,value1,Descpition
1,R4107,AAA0000FB7CX,0_0402,
2,R3302,AAA0000FB7CX,0_0402,
3,R3304,AAA0000FB7CX,0_0402,
4,R4501,AAA0000FB7CX,0_0402,
5,R4502,AAA0000FB7CX,0_0402,
6,R3301,AAA0000FB7CX,0_0402,
7,R1701,AAA0000JA0CX,NC,
8,R3303,AAA0000JA0CX,0,
9,R3305,AAA0000JA0CX,0,
10,R3307,AAA0000JA0CX,NC,
11,R3308,AAA0000JA0CX,NC,
12,R1221,AAA0000JA0CX,0,
13,R6103,AAA0000JA0CX,0,
14,R6102,AAA0000JA0CX,0,
15,R4109,AAA0000JA0CX,0,
16,R6101,AAA0000JA0CX,0,
17,R6100,AAA0000JA0CX,0,
18,R4108,AAA0000JA0CX,0,
19,R5909,AAA0000JA0CX,NC,
20,R1704,AAA0000JA0CX,0,
21,R6107,AAA0000JA0CX,0,
22,R3206,AAA0000JA0CX,NC,
23,R1703,AAA0000JA0CX,NC,
24,R1205,AAA0000JA0CX,0,
25,R4110,AAA0000JA0CX,0,
26,R1702,AAA0000JA0CX,0,
27,R6106,AAA0000JA0CX,0,
28,R3209,AAA0000JA0CX,0,
29,R3207,AAA0000JA0CX,NC,
30,R3205,AAA0000JA0CX,NC,
31,R3204,AAA0000JA0CX,0,
32,R3203,AAA0000JA0CX,0,
33,R6105,AAA0000JA0CX,0,
34,R1204,AAA0000JA0CX,0,
35,R2104,AAA0000JA0CX,NC,
36,R6104,AAA0000JA0CX,0,
37,R5947,AAA0000JA8CX,NC,"Resistor,0 ohm,¡À5 %,1/20 W,0201,N/A"
38,R4104,AAA0000JA8CX,0,"Resistor,0 ohm,¡À5 %,1/20 W,0201,N/A"
39,R4203,AAA0000JA8CX,0,"Resistor,0 ohm,¡À5 %,1/20 W,0201,N/A"
40,R4204,AAA0000JA8CX,0,"Resistor,0 ohm,¡À5 %,1/20 W,0201,N/A"
