EE120_SBA1M300001E_EBOM_V01,,,,,,,,
,,,,,,,,
PCBA:  ,SBA1M300001E,ICS:,01,eBOM Ver:,1,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort
1,BAB1M3000ECX,BAB1M3000EC1,,TRIPOD,"Main PCB,WIFI12,E Version,3+4+3 Layers,76.57×61.05×0.8 mm,BAB1M3000DC1,TRIPOD",1,,PCB
1A,#BAB1M3000DCX,BAB1M3000DC1,,TRIPOD,"Main PCB,WIFI12,D Version,3+4+3 Layers,76.57×61.05×0.8 mm,BAB1M3000CC1,TRIPOD",1,,PCB
2,AMA0001082CX,AMA0001082C1,MDM-9240-0-527PSP-MT-01-0,QUALCOMM,"Baseband Chipset,527-PSP,527 Balls,9.8×8.6×0.82 mm,0.35 mm,Non-Security,MDM-9240-0-527PSP-MT-01-0,QUALCOMM",1,U1101,IC
3,AMN0000110CX,AMN0000110C1,PMD9645-0-103WLNSP-TR-02-0,QUALCOMM,"电源管理芯片,PMU Chipset,103 WLNSP,4.14×4.14×0.55 mm,0.4 mm,N/A,PMD9645-0-103WLNSP-TR-02-0,QUALCOMM",1,U3101,IC
4,AMD0000601CX,AMD0000601C1,NM1282KSLAXAL-3B,Nanya,"Memory,NAND+LPDDR2,2 Gb+2 Gb,162-Ball VFBGA,8×10.5×1 mm,0.5 mm,1.2 V/1.8 V,NM1282KSLAXAL-3B,NANYA",1,U2101,IC
5,AMR0000084CX,AMR0000084C1,WTR-4905-1-60WLNSP-TR-01-1,QUALCOMM,"无线收发芯片,Transceiver Chipset,60 WLNSP,3.22×3.22×0.57 mm,0.4 mm,N/A,WTR-4905-1-60WLNSP-TR-01-1,QUALCOMM",1,U4102,IC
6, AMB0000101CX,AMB0000101C1 ,QCA-6174A-1-172BWLNSP-TR-0C-0 ,QUALCOMM,"WiFi/BT芯片,WiFi/BT IC,WLAN,172B WLNSP,6.02×4.89×0.57 mm,0.4 mm,N/A,N/A,QCA-6174A-1-172BWLNSP-TR-0C-0,QUALCOMM ",1,U4501,IC
7,AMR0000089CX,AMR0000089C1,WTR-3925-2-106BWLPSP-HR-03-1,QUALCOMM,"无线收发芯片,Transceiver Chipset,106B WLPSP,3.83×3.83×0.55 mm,0.35 mm,N/A,WTR-3925-2-106BWLPSP-HR-03-1,QUALCOMM",1,U4101,IC
8,AXA0000032CX,AXA0000032C1,RF1656,RFMD,"天线开关,Antenna Switch Module,SP6T,2.4-4.5 V,2×2×0.55 mm,N/A,",1,U4401,IC
9,AXA0000061CX,AXA0000061C1,RF1680,RFMD,"天线开关,Antenna Switch Module,Dual SP4T,2.4-5.8 V,1.9×1.9×0.65 mm,N/A",1,U4402,IC
10,AMY0001449CX,AMY0001449C1,BQ25601RTWR,TI,"Charging Management IC,4.0mm × 4.0mm x 0.75mm,24PIN, WQFN,BQ25601RTWR,TI",1,U3401,IC
11,AMY0001466CX,AMY0001466C1,TPS61235PRWLR,TI,"升压转换芯片,DC-DC Boost Converter,2.50×2.50×1.00 mm,VQFN(9),N/A,TPS61235PRWLR,TI",1,U5901,IC
12,AMY0000505CX,AMY0000505C1,SY6280AA,SILERGY,"电源开关,Power Distribution Switch,3.1×3×1.4 mm,SO23-5,N/A,SY6280AAC,SILERGY",1,U5902,IC
13,AMY0000717CX,AMY0000717C1,SY8089AAAC,SILERGY,"降压型稳压器,Step Down DC/DC Regulator,3.1×3×1.4 mm,SOT23-5,N/A,SY8089AAAC,SILERGY",1,U4701,IC
